Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Cruise]	Term Source REF	Term Accession Number	Factor Value[Station]	Term Source REF	Term Accession Number	Factor Value[Cast]	Term Source REF	Term Accession Number	Factor Value[Depth]	Unit	Term Source REF	Term Accession Number	Factor Value[Latitude]	Unit	Term Source REF	Term Accession Number	Factor Value[Longitude]	Unit	Term Source REF	Term Accession Number	Factor Value[Sample group]	Term Source REF	Term Accession Number
KO1	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO1	KN210-04			2			8			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO2	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO2	KN210-04			2			3			42	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO3	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO3	KN210-04			2			5			80	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO4	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO4	KN210-04			2			3			220	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO5	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO5	KN210-04			2			4			754	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO6	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO6	KN210-04			2			2			2502	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO7	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO7	KN210-04			2			2			5110	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-38	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-45	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO8	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO8	KN210-04			7			21			5	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO9	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO9	KN210-04			7			21			130	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
KO10	sea water	ENVO	http://purl.obolibrary.org/obo/ENVO_00002149	endometabolome						experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KO10	KN210-04			7			18			250	meter	UO	http://purl.obolibrary.org/obo/UO_0000008	-22.5	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	-33	degree	UO	http://purl.obolibrary.org/obo/UO_0000185	0.2 µm Omnipore filter		
